"accession"	"organism"	"isolation_source"	"host"	"collected_by"	"mol_type"	"collection_date"	"isolate"	"db_xref"	"country"	"ids"
"KR105322"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"15-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5738.1"	"taxon:186538"	"Sierra Leone: Moyamba"	"G5738"
"KR105323"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"17-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5743.1"	"taxon:186538"	"Sierra Leone: Kono"	"G5743"
"KR105324"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"18-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5756.1"	"taxon:186538"	"Sierra Leone"	"G5756"
"KR105325"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"16-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5763.1"	"taxon:186538"	"Sierra Leone: Moyamba"	"G5763"
"KR105326"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"16-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5765.1"	"taxon:186538"	"Sierra Leone: Moyamba"	"G5765"
"KR105327"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"16-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5767.1"	"taxon:186538"	"Sierra Leone"	"G5767"
"KR105328"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"21-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5844.1"	"taxon:186538"	"Sierra Leone: Moyamba"	"G5844"
"KR105329"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"21-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5853.1"	"taxon:186538"	"Sierra Leone: Moyamba"	"G5853"
"KR105330"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"22-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5879.1"	"taxon:186538"	"Sierra Leone: Pujehun"	"G5879"
"KR105331"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"22-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5898.1"	"taxon:186538"	"Sierra Leone: Bo"	"G5898"
"KR105332"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5982.1"	"taxon:186538"	"Sierra Leone"	"G5982"
"KR105333"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5983.1"	"taxon:186538"	"Sierra Leone"	"G5983"
"KR105334"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5985.1"	"taxon:186538"	"Sierra Leone"	"G5985"
"KR105335"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5986.1"	"taxon:186538"	"Sierra Leone"	"G5986"
"KR105336"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5988.1"	"taxon:186538"	"Sierra Leone"	"G5988"
"KR105337"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5996.1"	"taxon:186538"	"Sierra Leone"	"G5996"
"KR105338"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5997.1"	"taxon:186538"	"Sierra Leone"	"G5997"
"KR105339"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G5998.1"	"taxon:186538"	"Sierra Leone"	"G5998"
"KR105340"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G6012.1"	"taxon:186538"	"Sierra Leone"	"G6012"
"KR105341"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G6020.1"	"taxon:186538"	"Sierra Leone"	"G6020"
"KR105342"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G6060.1"	"taxon:186538"	"Sierra Leone: Pujehun"	"G6060"
"KR105343"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G6062.1"	"taxon:186538"	"Sierra Leone: Pujehun"	"G6062"
"KR105344"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"25-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G6069.1"	"taxon:186538"	"Sierra Leone: Kambia"	"G6069"
"KR105345"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"27-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G6089.1"	"taxon:186538"	"Sierra Leone: Tonkolili"	"G6089"
"KR105346"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"27-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G6091.1"	"taxon:186538"	"Sierra Leone: Tonkolili"	"G6091"
"KR105347"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"27-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G6095.1"	"taxon:186538"	"Sierra Leone: Tonkolili"	"G6095"
"KR105348"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"28-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G6103.1"	"taxon:186538"	"Sierra Leone: Moyamba"	"G6103"
"KR105349"	"Zaire ebolavirus"	"blood serum"	"Homo sapiens"	"Kenema Government Hospital"	"viral cRNA"	"28-Sep-2014"	"Ebola virus/H.sapiens-wt/SLE/2014/Makona-G6104.1"	"taxon:186538"	"Sierra Leone: Moyamba"	"G6104"
